건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20141222,,,,,20141223,41,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009145
,,,,,,,,0,0,0,,,,,,20141224,,,,,20141225,42,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009185
,,,,,,,,0,0,0,,,,,,20141230,,,,,20141231,43,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009206
,,,,,,,,0,0,0,,,,,,20150115,,,,,20150116,44,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009267
,,,,,,,,0,0,0,,,,,,20150123,,,,,20150124,45,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009285
,,,,,,,,0,0,0,,,,,,20150127,,,,,20150128,46,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100009305
,,,,,,,,0,0,0,,,,,,20150127,,,,,20150128,47,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009306
,,,,,,,,0,0,0,,,,,,20150209,,,,,20150212,48,서울특별시 광진구 구의동 546-7번지,11215,10300,0,0546,0007,11215-100009366
,,,,,,,,0,0,0,,,,,,20150225,,,,,20150226,49,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009445
,,,,,,,,0,0,0,,,,,,20150302,,,,,20150306,50,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100009465
,,,,,,,,0,0,0,,,,,,20150305,,,,,20150306,51,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009486
,,,,,,,,0,0,0,,,,,,20150311,,,20161110,,20161111,52,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009505
,,,,,,,,0,0,0,,,,,,20150317,,,,,20150318,53,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100009526
