건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
건대입구역 역세권 청년주택,,,,02000,공동주택,,,1,30275.5385,480,,,,,,20211125,,,,,20230403,1,서울특별시 광진구 자양동 8-8번지,11215,10500,0,0008,0008,11000-100007405
자양1재정비촉진구역 1-2획지 행복주택,,,,02000,공동주택,,,1,22451.9,300,,,,,,20211203,20220303,,,20240930,20220307,2,서울특별시 광진구 자양동 680-63번지,11215,10500,0,0680,0063,11000-100007445
,,,,,,,,0,0,0,,,,,,20130613,,,20130708,20130614,20130711,3,서울특별시 광진구 자양동 783-1번지,11215,10500,0,0783,0001,11215-100006744
,,,,,,,,0,0,0,,,,,,20130614,,,,,20130618,4,서울특별시 광진구 자양동 516번지,11215,10500,0,0516,0000,11215-100006764
,,,,,,,,0,0,0,,,,,,20130617,,,,,20130618,5,서울특별시 광진구 자양동 57-103번지,11215,10500,0,0057,0103,11215-100006784
,,,,,,,,0,0,0,,,,,,20130618,20130624,,,20130630,20130619,6,서울특별시 광진구 자양동 829번지,11215,10500,0,0829,0000,11215-100006804
,,,,,,,,0,0,0,,,,,,20130701,,,20130702,,20130704,7,서울특별시 광진구 자양동 762번지,11215,10500,0,0762,0000,11215-100006844
,,,,,,,,0,0,0,,,,,,20131014,,,20131113,,20131114,8,서울특별시 광진구 자양동 829번지,11215,10500,0,0829,0000,11215-100007085
,,,,,,,,0,0,0,,,,,,20131018,,,,,20140103,9,서울특별시 광진구 자양동 520-2번지,11215,10500,0,0520,0002,11215-100007104
,,,,,,,,0,0,0,,,,,,20131029,,,,,20131030,10,서울특별시 광진구 자양동 829번지,11215,10500,0,0829,0000,11215-100007124
,,,,,,,,0,0,0,,,,,,20131115,,,20131210,20131212,20131211,11,서울특별시 광진구 자양동 670번지,11215,10500,0,0670,0000,11215-100007224
,,,,,,,,0,0,0,,,,,,20131126,,,20131127,,20131128,12,서울특별시 광진구 자양동 579번지,11215,10500,0,0579,0000,11215-100007264
,,,,,,,,0,0,0,,,,,,20131202,,,,,20131204,13,서울특별시 광진구 자양동 672번지,11215,10500,0,0672,0000,11215-100007304
,,,,,,,,0,0,0,,,,,,20131213,,,,,20131214,14,서울특별시 광진구 자양동 642번지,11215,10500,0,0642,0000,11215-100007405
,,,,,,,,0,0,0,,,,,,20140129,,,20140129,,20140130,15,서울특별시 광진구 자양동 695번지,11215,10500,0,0695,0000,11215-100007605
,,,,,,,,0,0,0,,,,,,20140204,,,,,20140205,16,서울특별시 광진구 자양동 670번지,11215,10500,0,0670,0000,11215-100007628
한영해시안아파트,,,,02000,공동주택,,,1,4519.11,43,,,,,,20140217,20140324,,20150212,,20150213,17,서울특별시 광진구 자양동 858번지,11215,10500,0,0858,0000,11215-100007685
,,,,,,,,0,14242.06,0,,,,,,20140307,,,,,20140308,18,서울특별시 광진구 자양동 829번지,11215,10500,0,0829,0000,11215-100007806
,,,,,,,,0,35318.91,0,,,,,,20140422,,,20140512,,20140513,19,서울특별시 광진구 자양동 520-2번지,11215,10500,0,0520,0002,11215-100008047
