건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
씨즈 건대힐스,,,,02000,공동주택,,,1,5427.5,149,,,,,,20151103,20160224,,20170929,20171201,20180914,1,서울특별시 광진구 화양동 499-19번지,11215,10700,0,0499,0019,11215-100010705
테라팰리스 건대 1차,,,,02000,공동주택,,,1,5292.35,54,,,,,,20160411,20161118,,20190124,,20190125,2,서울특별시 광진구 화양동 531번지,11215,10700,0,0531,0000,11215-100011686
광진스위트엠 아파트,,,,02000,공동주택,,,2,6645.63,48,,,,,,20171013,20181129,,20211105,,20211108,3,서울특별시 광진구 화양동 499-18번지,11215,10700,0,0499,0018,11215-100015106
,,,,,,,,0,0,0,,,,,,20230228,20230302,,,20230410,20230302,4,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-1000000000000000098693
광진구 화양동 529 채움하우스,,,,02000,공동주택,,,2,1596.67,36,,,,,,20111209,20111220,,20121102,20120910,20121103,5,서울특별시 광진구 화양동 529번지,11215,10700,0,0529,0000,11215-100005204
,,,,,,,,0,30410.03,0,,,,,,20210507,20210429,,,20210520,20210510,6,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-100024668
,,,,,,,,0,0,0,,,,,,20210726,20210723,,,20210823,20210727,7,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-100025291
,,,,,,,,0,30410.03,0,,,,,,20211222,20211215,,,,20211223,8,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-100026768
,,,,,,,,0,30410.03,0,,,,,,20220211,20220415,,,20220731,20220214,9,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-100027188
,,,,,,,,0,30410.03,0,,,,,,20201130,,,,,20201201,10,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-100023270
,,,,,,,,0,30410.03,0,,,,,,20210107,,,,20210129,20210112,11,서울특별시 광진구 화양동 234번지,11215,10700,0,0234,0000,11215-100023528
