건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20150210,,,20150309,20150220,20150310,1,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100009385
,,,,,,,,0,0,0,,,,,,20150407,,,20150526,20150530,20150527,2,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100009625
대명이튼캐슬,,,,02000,공동주택,,,7,4764.84,123,,,,,,20171027,20171110,,20190208,20190121,20190212,3,서울특별시 광진구 군자동 504번지,11215,10900,0,0504,0000,11215-100015206
,,,,,,,,0,0,0,,,,,,20180417,,,20180427,20180430,20180428,4,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100016146
,,,,,,,,0,34015.08,0,,,,,,20180521,,,,,20180522,5,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100016326
,,,,,,,,0,0,0,,,,,,20180621,,,20180716,,20180717,6,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100016487
,,,,,,,,0,22469.2,0,,,,,,20190107,20190109,,,20190131,20190109,7,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100018127
,,,,,,,,0,0,0,,,,,,20190117,20190121,,,20190211,20190118,8,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100018266
,,,,,,,,0,0,0,,,,,,20190510,,,,,20190511,9,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100019006
,,,,,,,,0,0,0,,,,,,20190726,,,,,20190729,10,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100019527
,,,,,,,,0,34015.08,0,,,,,,20191004,20191007,,,20191030,20191007,11,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100019907
,,,,,,,,0,0,0,,,,,,20110217,,,20110325,,20110326,12,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100004243
,,,,,,,,0,22469.2,0,,,,,,20111109,,,,,20111110,13,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100005104
,,,,,,,,0,10549.2,0,,,,,,20120110,,,,,20120111,14,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100005304
,,,,,,,,0,0,0,,,,,,20210510,,,20210705,,20210706,15,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100024688
,,,,,,,,0,34015.08,0,,,,,,20210701,20210705,,,20210820,20210702,16,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100025128
,,,,,,,,0,0,0,,,,,,20211028,20211028,,,20211118,20211029,17,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100026168
,,,,,,,,0,0,0,,,,,,20211102,,,20211214,20211126,20211215,18,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100026208
,,,,,,,,0,0,0,,,,,,20211108,,,,,20211109,19,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100026248
,,,,,,,,0,0,0,,,,,,20220401,,,,,20220404,20,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100027708
,,,,,,,,0,0,0,,,,,,20220621,20220623,,,20220730,20220622,21,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100028448
,,,,,,,,0,0,0,,,,,,20220711,20220711,,,20220812,20220712,22,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100028629
,,,,,,,,0,0,0,,,,,,20220719,20220725,,,20220812,20220720,23,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100028708
,,,,,,,,0,34015.08,0,,,,,,20220720,20220720,,,20220830,20220721,24,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100028749
,,,,,,,,0,0,0,,,,,,20001103,,,,,20120207,25,서울특별시 광진구 군자동 99-2번지,11215,10900,0,0099,0002,11215-40
,,473,21,04000,제2종근린생활시설,,,1,1538,0,,,,,,20010928,,,,,20120207,26,서울특별시 광진구 군자동 473-21번지,11215,10900,0,0473,0021,11215-41
,,,,,,,,0,34015.08,0,,,,,,20200115,20200117,,,20200203,20200116,27,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100020647
,,,,,,,,0,0,0,,,,,,20200506,,,,,20200508,28,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100021668
,,,,,,,,0,34015.08,0,,,,,,20210202,20210208,,,20210330,20210203,29,서울특별시 광진구 군자동 99번지,11215,10900,0,0099,0000,11215-100023688
