건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20150512,20150511,,,20150529,20150513,1,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-100009906
,,,,,,,,0,0,0,,,,,,20180416,,,20180604,,20180608,2,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-100016126
,,,,,,,,0,0,0,,,,,,20180726,,,,,20180727,3,서울특별시 광진구 중곡동 681번지,11215,10100,0,0681,0000,11215-100016686
,,,,,,,,0,0,0,,,,,,20181022,,,20181024,,20181025,4,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-100017286
,,,,,,,,0,0,0,,,,,,20181102,,,20181211,,20181212,5,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-100017466
,,,,,,,,0,0,0,,,,,,20221018,,,,,20221020,6,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-1000000000000000031642
,,,,,,,,0,0,0,,,,,,20221018,,,,,20221020,7,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-1000000000000000031760
타워캐슬,,,,02000,공동주택,,,1,1130.52,48,,,,,,20111201,20111226,,20120925,20120924,20120927,8,서울특별시 광진구 중곡동 698번지,11215,10100,0,0698,0000,11215-100005164
중곡동 도시형 아파트,,,,02000,공동주택,,,1,2125.1,82,,,,,,20111228,20120111,,20121109,20130131,20121110,9,서울특별시 광진구 중곡동 699번지,11215,10100,0,0699,0000,11215-100005244
,,,,,,,,0,0,0,,,,,,20210929,,,20211020,20210929,20211021,10,서울특별시 광진구 중곡동 681번지,11215,10100,0,0681,0000,11215-100025831
,,,,,,,,0,0,0,,,,,,20220621,,,,,20220622,11,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-100028468
,우성2차(아),201,1101,,,,,0,0,0,,,,,,20030528,,,,,20120207,12,서울특별시 광진구 중곡동 520-2번지,11215,10100,0,0520,0002,11215-184
,중곡에스케이아파트상가동,,111,,,,,0,0,0,,,,,,20061011,,,,,20120207,13,서울특별시 광진구 중곡동 292번지,11215,10100,0,0292,0000,11215-339
광덕아파트,서울시 광진구 중곡동,187,22,02000,공동주택,,,1,6781.3,55,,,,,,20011103,20010826,,,,20100903,14,서울특별시 광진구 중곡동 187-22번지,11215,10100,0,0187,0022,11215-42
,1차우성아파트,,,,,,,0,0,0,,,,,,20010803,,,,,20120207,15,서울특별시 광진구 중곡동,11215,10100,0,0000,0000,11215-44
대진연립재건축아파트,,,,02000,공동주택,,,3,28016.62,182,,,,,,19960712,,,19991130,,20100903,16,서울특별시 광진구 중곡동 292-1번지,11215,10100,0,0292,0001,11215-5
