date,risk
1975-01-01,0.1128719822335313
1975-04-01,0.1969776275220331
1975-07-01,0.1969776275220331
1975-10-01,0.1969776275220331
1976-01-01,0.1969776275220331
1976-04-01,0.2626368366960442
1976-07-01,0.2626368366960442
1976-10-01,0.2626368366960442
1977-01-01,0.2626368366960442
1977-04-01,0.2626368366960442
1977-07-01,0.2626368366960442
1977-10-01,0.2626368366960442
1978-01-01,0.2626368366960442
1978-04-01,0.2954664412830497
1978-07-01,0.3282960458700552
1978-10-01,0.3282960458700552
1979-01-01,0.3282960458700552
1979-04-01,0.3282960458700552
1979-07-01,0.3611256504570608
1979-10-01,0.3939552550440663
1980-01-01,0.3939552550440663
1980-04-01,0.3939552550440663
1980-07-01,0.3939552550440663
1980-10-01,0.3939552550440663
1981-01-01,0.4596144642180774
1981-04-01,0.4596144642180774
1981-07-01,0.4596144642180774
1981-10-01,0.4596144642180774
1982-01-01,0.4596144642180774
1982-04-01,0.4596144642180774
1982-07-01,0.4596144642180774
1982-10-01,0.4596144642180774
1983-01-01,0.4596144642180774
1983-04-01,0.4596144642180774
1983-07-01,0.4596144642180774
1983-10-01,0.4596144642180774
1984-01-01,0.4596144642180774
1984-04-01,0.4596144642180774
1984-07-01,0.4596144642180774
1984-10-01,0.4596144642180774
1985-01-01,0.4596144642180774
1985-04-01,0.4596144642180774
1985-07-01,0.4596144642180774
1985-10-01,0.4596144642180774
1986-01-01,0.4596144642180774
1986-04-01,0.4596144642180774
1986-07-01,0.4596144642180774
1986-10-01,0.4596144642180774
1987-01-01,0.4596144642180774
1987-04-01,0.4596144642180774
1987-07-01,0.4596144642180774
1987-10-01,0.4596144642180774
1988-01-01,0.4596144642180774
1988-04-01,0.4596144642180774
1988-07-01,0.4596144642180774
1988-10-01,0.4596144642180774
1989-01-01,0.4596144642180774
1989-04-01,0.4596144642180774
1989-07-01,0.4596144642180774
1989-10-01,0.4596144642180774
1990-01-01,0.4596144642180774
1990-04-01,0.4596144642180774
1990-07-01,0.4596144642180774
1990-10-01,0.4596144642180774
1991-01-01,0.4596144642180774
1991-04-01,0.4596144642180774
1991-07-01,0.4596144642180774
1991-10-01,0.4596144642180774
1992-01-01,0.4596144642180774
1992-04-01,0.4596144642180774
1992-07-01,0.4596144642180774
1992-10-01,0.5961251781254715
1993-01-01,1.760222563415514
1993-04-01,2.3032322525905755
1993-07-01,2.69298132281698
1993-10-01,2.9490435481568587
1994-01-01,3.359668109803883
1994-04-01,3.700309105536497
1994-07-01,4.029571771095642
1994-10-01,4.4816398799639305
1995-01-01,4.823979200155913
1995-04-01,5.124701465682207
1995-07-01,4.909386624964552
1995-10-01,5.219574169724196
1996-01-01,5.489316634771114
1996-04-01,5.518683557603264
1996-07-01,5.553383519538008
1996-10-01,5.771006237043176
1997-01-01,5.867630529594499
1997-04-01,5.941491343278918
1997-07-01,5.965378473815075
1997-10-01,5.980079679467559
1998-01-01,5.74776941310435
1998-04-01,5.63782888959125
1998-07-01,5.447461614292858
1998-10-01,5.38861337245262
1999-01-01,5.376949761296033
1999-04-01,5.17127559951373
1999-07-01,5.044782711802703
1999-10-01,4.973213273650879
2000-01-01,4.954915400663939
2000-04-01,4.562037149279826
2000-07-01,4.445578673557758
2000-10-01,4.237308931447933
2001-01-01,4.183336188194316
2001-04-01,4.130064623029433
2001-07-01,4.043173986702165
2001-10-01,3.9566616109132178
2002-01-01,3.758812546090932
2002-04-01,3.744270230092027
2002-07-01,3.7020229412370447
2002-10-01,3.671999615837876
2003-01-01,3.6403386915173273
2003-04-01,3.531431748037679
2003-07-01,3.51970629562545
2003-10-01,3.474361772050836
2004-01-01,3.420044366010241
2004-04-01,3.366022809987602
2004-07-01,3.257356437771891
2004-10-01,3.2135692002715754
2005-01-01,3.2018437478593467
2005-04-01,3.054315566562192
2005-07-01,2.926203551521225
2005-10-01,2.926203551521225
2006-01-01,2.926203551521225
2006-04-01,2.926203551521225
2006-07-01,2.914478099108997
2006-10-01,2.8925844803588387
2007-01-01,2.8925844803588387
2007-04-01,2.8777724084197334
2007-07-01,2.7840785030247086
2007-10-01,2.7840785030247086
2008-01-01,2.77235305061248
2008-04-01,2.7575409786733744
2008-07-01,2.722019959146313
2008-10-01,2.722019959146313
2009-01-01,2.722019959146313
2009-04-01,2.710294506734084
2009-07-01,2.6747734872070223
2009-10-01,2.57207052383235
2010-01-01,2.57207052383235
2010-04-01,2.5039559118795243
2010-07-01,2.4507385940967685
2010-10-01,2.4507385940967685
2011-01-01,2.423738138440146
2011-04-01,2.322986544505525
2011-07-01,2.2817468002328964
2011-10-01,2.2817468002328964
2012-01-01,2.2817468002328964
2012-04-01,2.270021347820669
2012-07-01,2.2345003282936067
2012-10-01,2.2345003282936067
2013-01-01,2.2345003282936067
2013-04-01,2.2345003282936067
2013-07-01,2.1179255014562828
2013-10-01,2.1179255014562828
2014-01-01,2.1179255014562828
2014-04-01,2.1179255014562828
2014-07-01,2.086264577135734
2014-10-01,2.086264577135734
2015-01-01,2.074539124723506
2015-04-01,2.074539124723506
2015-07-01,2.074539124723506
2015-10-01,2.074539124723506
2016-01-01,2.074539124723506
2016-04-01,2.074539124723506
2016-07-01,2.074539124723506
2016-10-01,2.074539124723506
2017-01-01,2.074539124723506
2017-04-01,2.039018105196444
2017-07-01,2.003497085669382
2017-10-01,2.003497085669382
2018-01-01,1.971836161348834
2018-04-01,1.8444653075736703
2018-07-01,1.8444653075736703
2018-10-01,1.8401720426533728
2019-01-01,1.838025410193225
2019-04-01,1.838025410193225
2019-07-01,1.838025410193225
