date,risk
1975-01-01,0.054326077491266
1975-04-01,0.0907187756318417
1975-07-01,0.0907187756318417
1975-10-01,0.0907187756318417
1976-01-01,0.0907187756318417
1976-04-01,0.1146646383217876
1976-07-01,0.1146646383217876
1976-10-01,0.1146646383217876
1977-01-01,0.1146646383217876
1977-04-01,0.1146646383217876
1977-07-01,0.1146646383217876
1977-10-01,0.1146646383217876
1978-01-01,0.1146646383217876
1978-04-01,0.1289977181120111
1978-07-01,0.1433307979022346
1978-10-01,0.1433307979022346
1979-01-01,0.1433307979022346
1979-04-01,0.1433307979022346
1979-07-01,0.157663877692458
1979-10-01,0.1719969574826815
1980-01-01,0.1719969574826815
1980-04-01,0.1719969574826815
1980-07-01,0.1719969574826815
1980-10-01,0.1719969574826815
1981-01-01,0.2006631170631284
1981-04-01,0.2006631170631284
1981-07-01,0.2006631170631284
1981-10-01,0.2006631170631284
1982-01-01,0.2006631170631284
1982-04-01,0.2006631170631284
1982-07-01,0.2006631170631284
1982-10-01,0.2006631170631284
1983-01-01,0.2006631170631284
1983-04-01,0.2006631170631284
1983-07-01,0.2006631170631284
1983-10-01,0.2006631170631284
1984-01-01,0.2006631170631284
1984-04-01,0.2006631170631284
1984-07-01,0.2006631170631284
1984-10-01,0.2006631170631284
1985-01-01,0.2006631170631284
1985-04-01,0.2006631170631284
1985-07-01,0.2006631170631284
1985-10-01,0.2006631170631284
1986-01-01,0.2006631170631284
1986-04-01,0.2006631170631284
1986-07-01,0.2006631170631284
1986-10-01,0.2006631170631284
1987-01-01,0.2006631170631284
1987-04-01,0.2006631170631284
1987-07-01,0.2006631170631284
1987-10-01,0.2006631170631284
1988-01-01,0.2006631170631284
1988-04-01,0.2006631170631284
1988-07-01,0.2006631170631284
1988-10-01,0.2006631170631284
1989-01-01,0.2006631170631284
1989-04-01,0.2006631170631284
1989-07-01,0.2006631170631284
1989-10-01,0.2006631170631284
1990-01-01,0.2006631170631284
1990-04-01,0.2006631170631284
1990-07-01,0.2006631170631284
1990-10-01,0.2006631170631284
1991-01-01,0.2006631170631284
1991-04-01,0.2006631170631284
1991-07-01,0.2006631170631284
1991-10-01,0.2006631170631284
1992-01-01,0.2006631170631284
1992-04-01,0.2006631170631284
1992-07-01,0.2006631170631284
1992-10-01,0.3021653678224809
1993-01-01,1.0935738357156346
1993-04-01,1.3922000795429792
1993-07-01,1.6513326031827755
1993-10-01,1.885778160400252
1994-01-01,2.238889100486539
1994-04-01,2.560140227319258
1994-07-01,2.768660893866902
1994-10-01,3.153984062415413
1995-01-01,3.448342241132616
1995-04-01,3.678147371410281
1995-07-01,3.8162220936592073
1995-10-01,4.021694309240179
1996-01-01,4.189652202080252
1996-04-01,4.206326696385502
1996-07-01,4.32033284396552
1996-10-01,4.4230325833798085
1997-01-01,4.541292065012292
1997-04-01,4.678092207911099
1997-07-01,4.6586889428569
1997-10-01,4.7039014375509405
1998-01-01,4.540241333085898
1998-04-01,4.468630359654496
1998-07-01,4.349081026481096
1998-10-01,4.284337197770153
1999-01-01,4.262538182910166
1999-04-01,4.0538056527728665
1999-07-01,3.9888033415854
1999-10-01,3.963141097260507
2000-01-01,3.952267781898611
2000-04-01,3.6666644418345737
2000-07-01,3.508816405134638
2000-10-01,3.3345333231424266
2001-01-01,3.2386537604213403
2001-04-01,3.223864831458345
2001-07-01,3.1868210384625915
2001-10-01,3.147826973921132
2002-01-01,3.0056932885216128
2002-04-01,2.990656425774234
2002-07-01,2.916575878675108
2002-10-01,2.8839035484532247
2003-01-01,2.8695704686630013
2003-04-01,2.7878719365978832
2003-07-01,2.7660729217378965
2003-10-01,2.722019042845151
2004-01-01,2.670390725522563
2004-04-01,2.622754811606812
2004-07-01,2.5500347731336195
2004-10-01,2.549123074788076
2005-01-01,2.527324059928089
2005-04-01,2.425185118146149
2005-07-01,2.317040626411479
2005-10-01,2.317040626411479
2006-01-01,2.317040626411479
2006-04-01,2.317040626411479
2006-07-01,2.295241611551492
2006-10-01,2.327099725262394
2007-01-01,2.327099725262394
2007-04-01,2.308883183653918
2007-07-01,2.25696825733456
2007-10-01,2.25696825733456
2008-01-01,2.2351692424745733
2008-04-01,2.2169527008660976
2008-07-01,2.1958069018751285
2008-10-01,2.1958069018751285
2009-01-01,2.1958069018751285
2009-04-01,2.222921263432605
2009-07-01,2.201775464441636
2009-10-01,2.1451507866694755
2010-01-01,2.1451507866694755
2010-04-01,2.030506691774133
2010-07-01,1.9814732528178831
2010-10-01,1.9814732528178831
2011-01-01,1.979548587150399
2011-04-01,1.919982726729944
2011-07-01,1.9148229609698064
2011-10-01,1.9148229609698064
2012-01-01,1.9148229609698064
2012-04-01,1.8916264210693208
2012-07-01,1.870480622078352
2012-10-01,1.870480622078352
2013-01-01,1.870480622078352
2013-04-01,1.870480622078352
2013-07-01,1.8044737441766008
2013-10-01,1.8044737441766008
2014-01-01,1.8044737441766008
2014-04-01,1.8044737441766008
2014-07-01,1.790140664386377
2014-10-01,1.790140664386377
2015-01-01,1.766944124485891
2015-04-01,1.766944124485891
2015-07-01,1.766944124485891
2015-10-01,1.766944124485891
2016-01-01,1.766944124485891
2016-04-01,1.766944124485891
2016-07-01,1.766944124485891
2016-10-01,1.766944124485891
2017-01-01,1.766944124485891
2017-04-01,1.7457983254949223
2017-07-01,1.7246525265039536
2017-10-01,1.7246525265039536
2018-01-01,1.7103194467137302
2018-04-01,1.6328087495464376
2018-07-01,1.6328087495464376
2018-10-01,1.568069041685293
2019-01-01,1.5356991877547208
2019-04-01,1.5356991877547208
