date,risk
1975-01-01,0.0357079137445507
1975-04-01,0.0441063317436457
1975-07-01,0.0441063317436457
1975-10-01,0.0441063317436457
1976-01-01,0.0441063317436457
1976-04-01,0.058808442324861
1976-07-01,0.058808442324861
1976-10-01,0.058808442324861
1977-01-01,0.058808442324861
1977-04-01,0.058808442324861
1977-07-01,0.058808442324861
1977-10-01,0.058808442324861
1978-01-01,0.058808442324861
1978-04-01,0.0661594976154686
1978-07-01,0.0735105529060762
1978-10-01,0.0735105529060762
1979-01-01,0.0735105529060762
1979-04-01,0.0735105529060762
1979-07-01,0.0808616081966838
1979-10-01,0.0882126634872915
1980-01-01,0.0882126634872915
1980-04-01,0.0882126634872915
1980-07-01,0.0882126634872915
1980-10-01,0.0882126634872915
1981-01-01,0.1029147740685067
1981-04-01,0.1029147740685067
1981-07-01,0.1029147740685067
1981-10-01,0.1029147740685067
1982-01-01,0.1029147740685067
1982-04-01,0.1029147740685067
1982-07-01,0.1029147740685067
1982-10-01,0.1029147740685067
1983-01-01,0.1029147740685067
1983-04-01,0.1029147740685067
1983-07-01,0.1029147740685067
1983-10-01,0.1029147740685067
1984-01-01,0.1029147740685067
1984-04-01,0.1029147740685067
1984-07-01,0.1029147740685067
1984-10-01,0.1029147740685067
1985-01-01,0.1029147740685067
1985-04-01,0.1029147740685067
1985-07-01,0.1029147740685067
1985-10-01,0.1029147740685067
1986-01-01,0.1029147740685067
1986-04-01,0.1029147740685067
1986-07-01,0.1029147740685067
1986-10-01,0.1029147740685067
1987-01-01,0.1029147740685067
1987-04-01,0.1029147740685067
1987-07-01,0.1029147740685067
1987-10-01,0.1029147740685067
1988-01-01,0.1029147740685067
1988-04-01,0.1029147740685067
1988-07-01,0.1029147740685067
1988-10-01,0.1029147740685067
1989-01-01,0.1029147740685067
1989-04-01,0.1029147740685067
1989-07-01,0.1029147740685067
1989-10-01,0.1029147740685067
1990-01-01,0.1029147740685067
1990-04-01,0.1029147740685067
1990-07-01,0.1029147740685067
1990-10-01,0.1029147740685067
1991-01-01,0.1029147740685067
1991-04-01,0.1029147740685067
1991-07-01,0.1029147740685067
1991-10-01,0.1029147740685067
1992-01-01,0.1029147740685067
1992-04-01,0.1029147740685067
1992-07-01,0.1029147740685067
1992-10-01,0.1626971189894785
1993-01-01,0.6512035933396161
1993-04-01,0.8598105235321709
1993-07-01,1.125524958143678
1993-10-01,1.3079288810066108
1994-01-01,1.614181510268314
1994-04-01,1.797974899287992
1994-07-01,1.964753910510716
1994-10-01,2.2126648943505804
1995-01-01,2.3102792021025715
1995-04-01,2.450689577591433
1995-07-01,2.5393386993696576
1995-10-01,2.679355277732685
1996-01-01,2.80788818000069
1996-04-01,2.797995801303569
1996-07-01,2.89400911063479
1996-10-01,2.964094167733425
1997-01-01,3.046040802666405
1997-04-01,3.132671169661129
1997-07-01,3.124040598396981
1997-10-01,3.169707706842152
1998-01-01,3.070699360221819
1998-04-01,3.0310625493654
1998-07-01,2.949785371309962
1998-10-01,2.910431032157371
1999-01-01,2.897377087491433
1999-04-01,2.733821942615006
1999-07-01,2.684950399841391
1999-10-01,2.663423302576062
2000-01-01,2.6532267627287407
2000-04-01,2.488482607908242
2000-07-01,2.379234621949998
2000-10-01,2.26615723485584
2001-01-01,2.2047440400683844
2001-04-01,2.193413482650377
2001-07-01,2.164366631333308
2001-10-01,2.1357005553890462
2002-01-01,2.0376476134916666
2002-04-01,2.025932861122329
2002-07-01,1.9775736113987343
2002-10-01,1.9542636743834243
2003-01-01,1.9475954661985408
2003-04-01,1.8879268202058648
2003-07-01,1.8748728755399264
2003-10-01,1.8439627501742064
2004-01-01,1.8084649394643704
2004-04-01,1.7765331843470678
2004-07-01,1.7322866426115806
2004-10-01,1.7226821705438935
2005-01-01,1.7096282258779554
2005-04-01,1.6567415223069342
2005-07-01,1.586284552633847
2005-10-01,1.586284552633847
2006-01-01,1.586284552633847
2006-04-01,1.586284552633847
2006-07-01,1.5732306079679088
2006-10-01,1.5684283719340653
2007-01-01,1.5684283719340653
2007-04-01,1.5586508096530869
2007-07-01,1.5081467298424398
2007-10-01,1.5081467298424398
2008-01-01,1.4950927851765017
2008-04-01,1.485315222895523
2008-07-01,1.4720687730748083
2008-10-01,1.4720687730748083
2009-01-01,1.4720687730748083
2009-04-01,1.498601176335073
2009-07-01,1.4853547265143583
2009-10-01,1.4521936186880458
2010-01-01,1.4521936186880458
2010-04-01,1.3712545528425657
2010-07-01,1.3381917592130856
2010-10-01,1.3381917592130856
2011-01-01,1.3333895231792423
2011-04-01,1.3140949289455257
2011-07-01,1.322618809328768
2011-10-01,1.322618809328768
2012-01-01,1.322618809328768
2012-04-01,1.3084338261506527
2012-07-01,1.2951873763299382
2012-10-01,1.2951873763299382
2013-01-01,1.2951873763299382
2013-04-01,1.2951873763299382
2013-07-01,1.2507635472423253
2013-10-01,1.2507635472423253
2014-01-01,1.2507635472423253
2014-04-01,1.2507635472423253
2014-07-01,1.2440953390574416
2014-10-01,1.2440953390574416
2015-01-01,1.2299103558793263
2015-04-01,1.2299103558793263
2015-07-01,1.2299103558793263
2015-10-01,1.2299103558793263
2016-01-01,1.2299103558793263
2016-04-01,1.2299103558793263
2016-07-01,1.2299103558793263
2016-10-01,1.2299103558793263
2017-01-01,1.2299103558793263
2017-04-01,1.2166639060586115
2017-07-01,1.2034174562378972
2017-10-01,1.2034174562378972
2018-01-01,1.1967492480530135
2018-04-01,1.1401158166989205
2018-07-01,1.1401158166989205
2018-10-01,1.081361673206437
2019-01-01,1.0519846014601957
