date,risk
1975-01-01,0.1361610069557575
1975-04-01,0.2433609023759428
1975-07-01,0.2433609023759428
1975-10-01,0.2433609023759428
1976-01-01,0.2433609023759428
1976-04-01,0.3244812031679237
1976-07-01,0.3244812031679237
1976-10-01,0.3244812031679237
1977-01-01,0.3244812031679237
1977-04-01,0.3244812031679237
1977-07-01,0.3244812031679237
1977-10-01,0.3244812031679237
1978-01-01,0.3244812031679237
1978-04-01,0.3650413535639142
1978-07-01,0.4056015039599047
1978-10-01,0.4056015039599047
1979-01-01,0.4056015039599047
1979-04-01,0.4056015039599047
1979-07-01,0.4461616543558951
1979-10-01,0.4867218047518856
1980-01-01,0.4867218047518856
1980-04-01,0.4867218047518856
1980-07-01,0.4867218047518856
1980-10-01,0.4867218047518856
1981-01-01,0.5678421055438665
1981-04-01,0.5678421055438665
1981-07-01,0.5678421055438665
1981-10-01,0.5678421055438665
1982-01-01,0.5678421055438665
1982-04-01,0.5678421055438665
1982-07-01,0.5678421055438665
1982-10-01,0.5678421055438665
1983-01-01,0.5678421055438665
1983-04-01,0.5678421055438665
1983-07-01,0.5678421055438665
1983-10-01,0.5678421055438665
1984-01-01,0.5678421055438665
1984-04-01,0.5678421055438665
1984-07-01,0.5678421055438665
1984-10-01,0.5678421055438665
1985-01-01,0.5678421055438665
1985-04-01,0.5678421055438665
1985-07-01,0.5678421055438665
1985-10-01,0.5678421055438665
1986-01-01,0.5678421055438665
1986-04-01,0.5678421055438665
1986-07-01,0.5678421055438665
1986-10-01,0.5678421055438665
1987-01-01,0.5678421055438665
1987-04-01,0.5678421055438665
1987-07-01,0.5678421055438665
1987-10-01,0.5678421055438665
1988-01-01,0.5678421055438665
1988-04-01,0.5678421055438665
1988-07-01,0.5678421055438665
1988-10-01,0.5678421055438665
1989-01-01,0.5678421055438665
1989-04-01,0.5678421055438665
1989-07-01,0.5678421055438665
1989-10-01,0.5678421055438665
1990-01-01,0.5678421055438665
1990-04-01,0.5678421055438665
1990-07-01,0.5678421055438665
1990-10-01,0.5678421055438665
1991-01-01,0.5678421055438665
1991-04-01,0.5678421055438665
1991-07-01,0.5678421055438665
1991-10-01,0.5678421055438665
1992-01-01,0.5678421055438665
1992-04-01,0.5678421055438665
1992-07-01,0.5678421055438665
1992-10-01,0.7435815193058387
1993-01-01,2.2454724906969017
1993-04-01,2.947721408680533
1993-07-01,3.4577443836875714
1993-10-01,3.802543772396559
1994-01-01,4.366565510277347
1994-04-01,4.825213922133031
1994-07-01,5.290049438072579
1994-10-01,5.868327535999912
1995-01-01,6.334229700743413
1995-04-01,6.673130478041495
1995-07-01,6.501474355014367
1995-10-01,6.8968987119696505
1996-01-01,7.271522784651125
1996-04-01,7.332111763530637
1996-07-01,7.39168237764736
1996-10-01,7.6608605110680035
1997-01-01,7.790925213882191
1997-04-01,7.893775564122552
1997-07-01,7.915452190909081
1997-10-01,7.9416897569615825
1998-01-01,7.646371108079833
1998-04-01,7.505153003199558
1998-07-01,7.262858841453736
1998-10-01,7.180614432021376
1999-01-01,7.161229065887508
1999-04-01,6.914999523556905
1999-07-01,6.752991254343089
1999-10-01,6.661065855009943
2000-01-01,6.636157760843038
2000-04-01,6.1066204438533385
2000-07-01,5.940209477885851
2000-10-01,5.656283203533199
2001-01-01,5.571656547008305
2001-04-01,5.504639241842064
2001-07-01,5.417737710360312
2001-10-01,5.307093119842582
2002-01-01,5.040285914908056
2002-04-01,5.018392179324145
2002-07-01,4.953283500059839
2002-10-01,4.908857430575404
2003-01-01,4.869445897221755
2003-04-01,4.716189421441807
2003-07-01,4.6966714461242765
2003-10-01,4.628989735132179
2004-01-01,4.559443326909487
2004-04-01,4.489681970213912
2004-07-01,4.343177192514518
2004-10-01,4.285885671800443
2005-01-01,4.266367696482913
2005-04-01,4.057702956346306
2005-07-01,3.8835559157074298
2005-10-01,3.8835559157074298
2006-01-01,3.8835559157074298
2006-04-01,3.8835559157074298
2006-07-01,3.8640379403899
2006-10-01,3.835392180032864
2007-01-01,3.835392180032864
2007-04-01,3.8126111316301663
2007-07-01,3.653680935994005
2007-10-01,3.653680935994005
2008-01-01,3.634162960676474
2008-04-01,3.6113819122737767
2008-07-01,3.5679082351091527
2008-10-01,3.5679082351091527
2009-01-01,3.5679082351091527
2009-04-01,3.548390259791623
2009-07-01,3.5049165826269983
2009-10-01,3.3785576949441
2010-01-01,3.3785576949441
2010-04-01,3.280821526452366
2010-07-01,3.2118383777974846
2010-10-01,3.2118383777974846
2011-01-01,3.179001678588784
2011-04-01,3.0475006074683635
2011-07-01,2.992652496647064
2011-10-01,2.992652496647064
2012-01-01,2.992652496647064
2012-04-01,2.9731345213295337
2012-07-01,2.929660844164909
2012-10-01,2.929660844164909
2013-01-01,2.929660844164909
2013-04-01,2.929660844164909
2013-07-01,2.7894512648388923
2013-10-01,2.7894512648388923
2014-01-01,2.7894512648388923
2014-04-01,2.7894512648388923
2014-07-01,2.750039731485244
2014-10-01,2.750039731485244
2015-01-01,2.7305217561677138
2015-04-01,2.7305217561677138
2015-07-01,2.7305217561677138
2015-10-01,2.7305217561677138
2016-01-01,2.7305217561677138
2016-04-01,2.7305217561677138
2016-07-01,2.7305217561677138
2016-10-01,2.7305217561677138
2017-01-01,2.7305217561677138
2017-04-01,2.6870480790030893
2017-07-01,2.643574401838465
2017-10-01,2.643574401838465
2018-01-01,2.604162868484816
2018-04-01,2.452965799526264
2018-07-01,2.452965799526264
2018-10-01,2.444803003826506
2019-01-01,2.441918519265547
2019-04-01,2.441918519265547
2019-07-01,2.441918519265547
