개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3040000,3040000-103-1993-06863,19931030,,1,영업/정상,1,영업,nan,,,,02 4562433,97.94,143864,서울특별시 광진구 자양동 581-4 ,서울특별시 광진구 자양번영로 31 (자양동),5092.0,골드,2021/01/18 17:16,U,2021/01/20 2:40,단란주점,206577.288,447806.088,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,Y,97.94,,,
3040000,3040000-103-1993-06888,19931123,,1,영업/정상,1,영업,nan,,,,222016806,33.83,143825,서울특별시 광진구 구의동 246-75 ,서울특별시 광진구 아차산로51길 4 (구의동),5044.0,두루한,2021/07/12 14:48,U,2021/07/14 2:40,단란주점,207482.6037,448345.6101,단란주점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,33.83,,,
3040000,3040000-103-1993-06905,19930903,,1,영업/정상,1,영업,nan,,,,02 4468227,108.72,143826,서울특별시 광진구 구의동 252-90 ,서울특별시 광진구 자양로 112 (구의동),5043.0,제이제이(JJ)노래주점,2021/11/01 15:33,U,2021/11/03 2:40,단란주점,207326.7236,448373.8358,단란주점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,108.72,,,
3040000,3040000-103-1993-06907,19931103,,1,영업/정상,1,영업,nan,,,,02 4529110,75.6,143866,서울특별시 광진구 자양동 624-30 ,"서울특별시 광진구 자양로13길 26, 지층 (자양동)",5057.0,궁전,2021/02/17 17:26,U,2021/02/19 2:40,단란주점,207234.6846,448107.573,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,Y,75.6,,,
3040000,3040000-103-1993-06917,19931216,,1,영업/정상,1,영업,nan,,,,02 4586007,103.52,143825,서울특별시 광진구 구의동 243-22 ,서울특별시 광진구 아차산로 413 (구의동),5044.0,당근노래주점,2020/11/23 15:44,U,2020/11/25 2:40,단란주점,207749.1213,448413.8608,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,Y,103.52,,,
3040000,3040000-103-1993-06918,19931214,,1,영업/정상,1,영업,nan,,,,02 4676114,93.68,143843,서울특별시 광진구 자양동 45-34 ,서울특별시 광진구 뚝섬로 492 (자양동),5085.0,라이브(술있는 노래방),2021/07/12 14:50,U,2021/07/14 2:40,단란주점,205670.8189,448202.8825,단란주점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,93.68,,,
3040000,3040000-103-1993-06960,19931123,,1,영업/정상,1,영업,nan,,,,02 4447704,90.41,143865,서울특별시 광진구 자양동 607-17 ,서울특별시 광진구 뚝섬로 608 (자양동),5099.0,쉘리단란주점,2021/05/24 17:40,U,2021/05/26 2:40,단란주점,206752.4758,447819.0704,단란주점,,,,,,,,,,,,,,Y,90.41,,,
3040000,3040000-103-1993-06995,19931111,,1,영업/정상,1,영업,nan,,,,02 4460345,151.46,143817,서울특별시 광진구 구의동 54-20번지 ,서울특별시 광진구 천호대로 681 (구의동),4954.0,골드,2020/04/07 11:52,U,2020/04/09 2:40,단란주점,207965.6355,449806.78,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,Y,151.46,,,
3040000,3040000-103-1993-07001,19931201,,1,영업/정상,1,영업,nan,,,,02 4561029,121.35,143867,서울특별시 광진구 자양동 628-33 ,서울특별시 광진구 자양로 71 (자양동),5056.0,아지트,2021/07/12 14:51,U,2021/07/14 2:40,단란주점,207366.8051,447998.4856,단란주점,0.0,0.0,기타,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,121.35,,,
3040000,3040000-103-1993-07014,19931216,,1,영업/정상,1,영업,nan,,,,222017775,88.54,143867,서울특별시 광진구 자양동 627-2,서울특별시 광진구 자양로 87 (자양동),5056.0,평야7080,2022/07/14 14:32,U,2021/12/06 23:06,단란주점,207320.1734,448158.3168,,,,,,,,,,,,,,,,,,,
